J_Penduduk,J_P_DBD,J_M_DBD,IR_DBD,CFR_DBD,J_P_DD,J_M_DD,IR_DD,CFR_DD,J_P_N,2017,2018,2019,2020,Strata_E,Tnh_pek_bang_hlmn,Tanah Sawah,Tanah Kering,J_RT,J_Pdd_Lk,J_Pdd_Pr,J_Kep_Kel,J_KBPaud,J_SD,J_MI,J_SMP,J_MTS,J_SMA,J_MA,J_SMK,J_Siswa,J_PT,J_Dosen,J_Mhs,RS,RSB,Poli,Puskesmas_RI,Puskesmas_Rj,Apotek,Mini_Market,Toko Kelontong,WM_Kedai,BPR,KUD,IRT,Kosipa,BTS,Masjid,langgar,majlis,gereja,Total_T_Ibadah
11938,4,0,33.6,0.0,18,0,151.3,0,3,1,0,1,4,2,166.9,0.0,172.15,58,5876,5779,4003,11,5,0,4,0,2,0,3,2763,0,0.0,0.0,0,0,2,0.0,0,0,3,32,44,0,0,0,1,2,7,22,9.0,3,41
2122,0,0,0.0,0.0,15,0,696.1,0,0,0,0,0,0,3,24.42,70.5,163.48,14,1060,1107,698,3,2,0,1,0,0,0,0,241,0,0.0,0.0,0,0,0,0.0,0,0,0,0,8,0,0,0,0,1,3,9,3.0,0,15
11510,14,0,119.3,0.0,58,0,494.1,0,3,7,0,4,14,2,40.55,4.71,197.5,109,5864,5912,3455,19,3,0,1,0,1,0,0,1744,0,0.0,0.0,0,0,1,0.0,0,4,4,168,74,4,0,0,0,0,4,23,12.0,1,40
2918,2,0,68.0,0.0,4,0,136.0,0,0,0,0,0,2,2,84.41,75.9,217.15,18,1405,1493,951,3,0,1,1,0,1,0,0,1198,0,0.0,0.0,0,0,2,0.0,0,0,1,25,26,1,0,0,0,2,3,8,1.0,0,12
20365,2,1,9.8,4.9,14,0,68.8,0,1,10,2,11,2,1,75.85,0.0,91.06,120,9929,10272,6579,13,7,0,3,0,1,0,1,3663,1,11.0,768.0,0,0,3,0.0,1,0,4,63,35,0,0,0,2,1,13,41,15.0,4,74
5531,1,0,18.2,0.0,21,0,381.4,0,3,0,0,1,1,2,69.3,0.0,93.15,37,2671,2712,1726,5,3,0,1,0,1,0,1,1991,0,0.0,0.0,0,0,3,0.0,0,4,7,42,32,0,0,0,1,1,5,5,5.0,2,17
6941,2,0,28.9,0.0,10,0,144.7,0,1,0,0,0,2,2,131.0,2.0,199.0,48,3364,3413,2263,2,2,0,1,0,1,0,1,1513,0,0.0,0.0,1,0,2,1.0,1,3,6,8,42,0,0,0,1,3,7,13,9.0,3,32
9533,2,0,20.9,0.0,8,0,83.4,0,3,4,0,4,2,2,62.0,80.0,80.0,9,4733,4776,2999,8,9,1,3,1,2,0,1,3493,0,0.0,0.0,0,0,1,0.0,0,3,6,250,55,1,0,0,0,2,9,21,11.0,1,42
10596,1,0,9.4,0.0,1,0,9.4,0,1,0,0,0,1,2,54.0,0.0,66.4,76,5307,5255,3296,11,2,0,1,0,0,0,1,689,0,0.0,0.0,0,0,0,0.0,0,1,1,50,13,0,0,0,0,4,10,19,11.0,1,41
19844,3,0,15.0,0.0,59,0,295.5,0,5,0,0,3,3,2,14.61,6.29,14.61,131,10029,10134,6190,13,5,0,1,0,0,0,1,2475,0,0.0,0.0,0,0,2,0.0,0,3,7,80,1,0,0,0,2,2,11,15,9.0,3,38
3404,1,0,28.9,0.0,8,0,231.3,0,0,1,0,0,1,2,98.25,83.73,205.63,24,1734,1731,1067,5,2,0,0,0,0,0,0,442,0,0.0,0.0,0,0,0,0.0,0,0,1,18,11,0,0,0,0,1,5,11,7.0,0,23
3231,2,0,62.1,0.0,6,0,186.2,0,2,0,0,1,2,2,39.47,0.0,65.51,23,1495,1653,1075,4,2,0,0,0,0,0,0,251,0,0.0,0.0,0,0,1,0.0,0,3,3,25,27,0,0,0,2,3,6,5,3.0,0,14
4719,0,0,0.0,0.0,3,0,62.6,0,0,0,0,1,0,2,62.96,69.43,176.05,26,2405,2422,1527,4,2,0,0,0,0,0,0,281,0,0.0,0.0,0,0,0,0.0,0,0,0,38,9,0,0,0,0,1,4,13,3.0,0,20
4162,1,0,24.1,0.0,5,0,120.4,0,1,0,0,1,1,2,77.29,0.0,83.54,28,2030,2168,1493,7,3,0,4,0,1,0,3,2983,1,11.0,261.0,0,0,4,0.0,0,5,8,26,35,0,0,0,1,2,3,11,7.0,4,27
