J_Penduduk;J_P_DBD;J_M_DBD;IR_DBD;CFR_DBD;J_P_DD;J_M_DD;IR_DD;CFR_DD;J_P_N;J_M_Non;IR_Non;CFR_Non;2017;2018;2019;2020;ABJ;Strata_E;Tnh_pek_bang_hlmn;Tanah Sawah;Tanah Kering;J_RT;J_RW;J_Pdd_Lk;J_Pdd_Pr;J_Kep_Kel;J_KBPaud;J_SD;J_MI;J_SMP;J_MTS;J_SMA;J_MA;J_SMK;J_Siswa;J_PT;J_Dosen;J_Mhs;Mini_Market;Toko Kelontong;Resto_RM;WM_Kedai;BPR;KUD;IRT;Total_T_Ibadah;kop_total;pasar_total;instansi_kesehatan;toko_obat
7023;4;0;55.6;0;34;0;472.9;0;2;0;27.82;0;0;1;4;4;98.58;1;46.34;31.5;436.39;43;7;3623;3601;2174;9;1;0;1;0;0;0;0;711;0;0;0;3;24;1;5;0;0;0;26;0;0;2;1
4837;1;0;20.8;0;10;0;207.8;0;1;0;20.78;0;0;0;0;1;71.98;2;29.3;0;33.6;42;5;2362;2530;1692;4;2;0;1;0;0;0;0;553;2;255;9829;6;166;24;29;0;0;0;11;0;0;2;9
6827;0;0;0;0;4;0;58.9;0;0;0;0;0;2;0;0;0;91.35;3;54.46;0;58.16;64;9;3201;3422;2259;4;4;0;2;0;0;0;1;1688;0;0;0;3;0;6;30;0;0;0;18;0;0;0;2
5206;1;0;19.3;0;3;0;58;0;0;0;0;0;0;0;1;1;94.72;2;69.4;0;79.8;41;6;2503;2651;1732;5;3;0;1;1;0;0;1;680;1;16;73;1;0;0;13;0;0;0;25;1;1;2;7
7790;1;0;13.3;0;10;0;133.1;0;1;0;13.31;0;0;0;0;1;86.92;2;65.33;0;75.56;57;7;3569;3842;2512;11;3;0;2;0;1;0;3;8281;0;0;0;4;80;13;92;2;0;0;34;0;0;3;7
33349;1;0;3;0;26;0;77.6;0;0;0;0;0;3;2;1;1;97.7;1;153.3;207.4;207.4;25;1;16533;16930;10296;25;6;0;2;0;0;0;0;1876;0;0;0;8;130;0;66;0;0;0;49;0;2;2;4
4011;0;0;0;0;3;0;75.5;0;0;0;0;0;1;0;1;0;95.29;2;120;0;131.98;22;5;1978;1968;1184;6;1;0;0;0;0;0;0;403;0;0;0;2;53;0;22;1;0;0;22;1;1;1;0
6492;3;0;45.3;0;6;0;90.6;0;0;0;0;0;0;0;1;3;98.16;2;213.21;109;389.66;41;9;3361;3331;2148;4;3;1;1;1;1;0;0;1696;0;0;0;0;36;0;53;3;1;0;42;1;1;1;2
13557;3;0;22.2;0;31;0;229;0;1;0;7.39;0;2;3;4;3;97.39;1;57.76;2.51;255.05;88;12;6708;6760;4234;9;4;1;1;0;0;0;0;2792;0;0;0;6;130;2;70;1;0;0;49;0;1;3;4
13397;2;0;14.9;0;11;0;82.1;0;1;0;7.47;0;4;1;4;2;93.99;1;67.4;0;84.38;64;8;6502;6774;4169;3;4;0;0;0;0;0;0;1132;1;13;31;4;233;3;143;0;0;0;41;2;1;5;3
14475;0;0;0;0;30;0;207.5;0;5;0;34.59;0;1;1;7;0;94.98;2;222.1;0;235.88;83;11;7103;7254;4700;11;4;0;1;0;1;0;0;679;0;0;0;4;25;7;19;0;0;0;37;2;0;2;4
4057;1;0;24.1;0;7;0;169;0;0;0;0;0;0;0;0;1;94.24;2;97.58;134.74;170.95;22;3;2081;2074;1338;6;2;0;0;0;0;0;0;267;0;0;0;0;2;0;5;0;0;0;28;0;0;1;4
5153;1;0;19.2;0;1;0;19.2;0;0;0;0;0;0;1;1;1;92.31;1;56.5;82.9;123.86;25;5;2588;2662;1676;4;2;1;2;0;2;0;0;994;0;0;0;0;2;0;6;0;0;0;36;0;0;0;0
12443;3;0;24.1;0;27;0;216.6;0;1;0;8.02;0;1;1;4;3;97.25;1;158.5;0;185;98;17;6044;6434;4070;10;4;0;2;0;2;0;1;5227;0;0;0;6;65;3;41;0;0;0;45;3;1;4;8
5552;1;0;17.7;0;5;0;88.7;0;0;0;0;0;0;0;1;1;94.53;2;48;74.05;192.22;26;6;2869;2807;1808;5;3;1;1;0;1;0;0;510;0;0;0;0;11;13;2;0;0;0;37;1;0;1;0
15124;1;0;6.6;0;30;0;197.6;0;3;0;19.76;0;1;5;6;1;95.71;1;95.05;146.5;146.5;11;1;7390;7633;4796;13;3;0;4;0;1;0;1;3936;2;196;6770;8;108;4;72;0;0;0;70;0;1;2;4
2564;0;0;0;0;4;0;156.6;0;0;0;0;0;0;0;0;0;95.8;4;43.35;0;46.6;24;3;1275;1300;921;4;1;0;0;0;0;0;1;348;1;248;9602;1;99;9;17;1;0;0;14;2;0;2;1
